QR;ID del paquet de bosses;ID Extern de bossa (individual);Assignat?
./data/QR/35RSU/GB035R004730.png;GB035R004730;802A00129255;No
./data/QR/35RSU/GB035R004730.png;GB035R004730;802A00129256;No
./data/QR/35RSU/GB035R004730.png;GB035R004730;802A00129257;No
./data/QR/35RSU/GB035R004730.png;GB035R004730;802A00129258;No
./data/QR/35RSU/GB035R004730.png;GB035R004730;802A00129259;No
./data/QR/35RSU/GB035R004731.png;GB035R004731;802A00149260;No
./data/QR/35RSU/GB035R004731.png;GB035R004731;802A00149261;No
./data/QR/35RSU/GB035R004731.png;GB035R004731;802A00149262;No
./data/QR/35RSU/GB035R004731.png;GB035R004731;802A00149263;No
./data/QR/35RSU/GB035R004731.png;GB035R004731;802A00149264;No
./data/QR/35RSU/GB035R004731.png;GB035R004731;802A00149265;No
./data/QR/35RSU/GB035R004731.png;GB035R004731;802A00149266;No
./data/QR/35RSU/GB035R004731.png;GB035R004731;802A00149267;No
./data/QR/35RSU/GB035R004731.png;GB035R004731;802A00149268;No
./data/QR/35RSU/GB035R004731.png;GB035R004731;802A00149269;No
./data/QR/35RSU/GB035R004731.png;GB035R004731;802A00149270;No
./data/QR/35RSU/GB035R004731.png;GB035R004731;802A00149271;No
./data/QR/35RSU/GB035R004731.png;GB035R004731;802A00149272;No
./data/QR/35RSU/GB035R004731.png;GB035R004731;802A00149273;No
./data/QR/35RSU/GB035R004731.png;GB035R004731;802A00149274;No
./data/QR/35RSU/GB035R004731.png;GB035R004731;802A00149275;No
./data/QR/35RSU/GB035R004731.png;GB035R004731;802A00149276;No
./data/QR/35RSU/GB035R004731.png;GB035R004731;802A00149277;No
./data/QR/35RSU/GB035R004731.png;GB035R004731;802A00149278;No
./data/QR/35RSU/GB035R004731.png;GB035R004731;802A00149279;No
./data/QR/35RSU/GB035R004732.png;GB035R004732;802A00129260;No
./data/QR/35RSU/GB035R004732.png;GB035R004732;802A00129261;No
./data/QR/35RSU/GB035R004732.png;GB035R004732;802A00129262;No
./data/QR/35RSU/GB035R004732.png;GB035R004732;802A00129263;No
./data/QR/35RSU/GB035R004732.png;GB035R004732;802A00129264;No
./data/QR/35RSU/GB035R004732.png;GB035R004732;802A00129265;No
./data/QR/35RSU/GB035R004732.png;GB035R004732;802A00129266;No
